TZID,UTC Offset
Asia/Colombo,5:30
Asia/Damascus,2:00
Asia/Dhaka,6:00
Asia/Dili,9:00
Asia/Dubai,4:00
Asia/Dushanbe,5:00
Asia/Gaza,2:00
Asia/Harbin,8:00
Asia/Hebron,2:00
Asia/Ho_Chi_Minh,7:00
Asia/Hong_Kong,8:00
Asia/Hovd,7:00
Asia/Irkutsk,9:00
Asia/Jakarta,7:00
Asia/Jayapura,9:00
Asia/Jerusalem,2:00
Asia/Kabul,4:30
Asia/Kamchatka,12:00
Asia/Karachi,5:00
Asia/Kashgar,8:00
Asia/Kathmandu,5:45
Asia/Khandyga,10:00
Asia/Kolkata,5:30
Asia/Krasnoyarsk,8:00
Asia/Kuala_Lumpur,8:00
Asia/Kuching,8:00
Asia/Kuwait,3:00
Asia/Macau,8:00
Asia/Magadan,12:00
Asia/Makassar,8:00
Asia/Manila,8:00
Asia/Muscat,4:00
Asia/Nicosia,2:00
Asia/Novokuznetsk,7:00
Asia/Novosibirsk,7:00
Asia/Omsk,7:00
Asia/Oral,5:00
Asia/Phnom_Penh,7:00
Asia/Pontianak,7:00
Asia/Pyongyang,9:00
Asia/Qatar,3:00
Asia/Qyzylorda,6:00
Asia/Rangoon,6:30
Asia/Riyadh,3:00
Asia/Sakhalin,11:00
Asia/Samarkand,5:00
Asia/Seoul,9:00
Asia/Shanghai,8:00
Asia/Singapore,8:00
Asia/Taipei,8:00
Asia/Tashkent,5:00
Asia/Tbilisi,4:00
Asia/Tehran,3:30
Asia/Thimphu,6:00
Asia/Tokyo,9:00
Asia/Ulaanbaatar,8:00
Asia/Urumqi,8:00
Asia/Ust-Nera,11:00
Asia/Vientiane,7:00
Asia/Vladivostok,11:00
Asia/Yakutsk,10:00
Asia/Yekaterinburg,6:00
Asia/Yerevan,4:00
Atlantic/Azores,-1:00
Atlantic/Bermuda,-4:00
Atlantic/Canary,0:00
Atlantic/Cape_Verde,-1:00
Atlantic/Faroe,0:00
Atlantic/Madeira,0:00
Atlantic/Reykjavik,0:00
Atlantic/South_Georgia,-2:00
Atlantic/St_Helena,0:00
Atlantic/Stanley,-3:00
Australia/Adelaide,9:30
Australia/Brisbane,10:00
Australia/Broken_Hill,9:30
Australia/Currie,10:00
Australia/Darwin,9:30
Australia/Eucla,8:45
Australia/Hobart,10:00
Australia/Lindeman,10:00
Australia/Lord_Howe,10:30
Australia/Melbourne,10:00
Australia/Perth,8:00
Australia/Sydney,10:00
Europe/Amsterdam,1:00
Europe/Andorra,1:00
Europe/Athens,2:00
Europe/Belgrade,1:00
Europe/Berlin,1:00
Europe/Bratislava,1:00
Europe/Brussels,1:00
Europe/Bucharest,2:00
Europe/Budapest,1:00
Europe/Chisinau,2:00
Europe/Copenhagen,1:00
Europe/Dublin,0:00
Europe/Gibraltar,1:00
Europe/Guernsey,0:00
Europe/Helsinki,2:00
Europe/Isle_of_Man,0:00
Europe/Istanbul,2:00
Europe/Jersey,0:00
Europe/Kaliningrad,3:00
Europe/Kiev,2:00
Europe/Lisbon,0:00
Europe/Ljubljana,1:00
Europe/London,0:00
Europe/Luxembourg,1:00
Europe/Madrid,1:00
Europe/Malta,1:00
Europe/Mariehamn,2:00
Europe/Minsk,3:00
Europe/Monaco,1:00
Europe/Moscow,4:00
Europe/Oslo,1:00
Europe/Paris,1:00
Europe/Podgorica,1:00
Europe/Prague,1:00
Europe/Riga,2:00
Europe/Rome,1:00
Europe/Samara,4:00
Europe/San_Marino,1:00
Europe/Sarajevo,1:00
Europe/Simferopol,2:00
Europe/Skopje,1:00
Europe/Sofia,2:00
Europe/Stockholm,1:00
Europe/Tallinn,2:00
Europe/Tirane,1:00
Europe/Uzhgorod,2:00
Europe/Vaduz,1:00
Europe/Vatican,1:00
Europe/Vienna,1:00
Europe/Vilnius,2:00
Europe/Volgograd,4:00
Europe/Warsaw,1:00
Europe/Zagreb,1:00
Europe/Zaporozhye,2:00
Europe/Zurich,1:00
Indian/Antananarivo,3:00
Indian/Chagos,6:00
Indian/Christmas,7:00
Indian/Cocos,6:30
Indian/Comoro,3:00
Indian/Kerguelen,5:00
Indian/Kerguelen,5:00
Indian/Mahe,4:00
Indian/Maldives,5:00
Indian/Mauritius,4:00
Indian/Mayotte,3:00
Indian/Reunion,4:00
Pacific/Apia,13:00
Pacific/Auckland,12:00
Pacific/Chatham,12:45
Pacific/Chuuk,10:00
Pacific/Easter,-6:00
Pacific/Efate,11:00
Pacific/Enderbury,13:00
Pacific/Fakaofo,13:00
Pacific/Fiji,12:00
Pacific/Funafuti,12:00
Pacific/Galapagos,-6:00
Pacific/Gambier,-9:00
Pacific/Guadalcanal,11:00
Pacific/Guam,10:00
Pacific/Honolulu,-10:00
Pacific/Johnston,-10:00
Pacific/Kiritimati,14:00
Pacific/Kosrae,11:00
Pacific/Kwajalein,12:00
Pacific/Majuro,12:00
Pacific/Marquesas,-9:30
Pacific/Midway,-11:00
Pacific/Nauru,12:00
Pacific/Niue,-11:00
Pacific/Norfolk,11:30
Pacific/Noumea,11:00
Pacific/Pago_Pago,-11:00
Pacific/Palau,9:00
Pacific/Pitcairn,-8:00
Pacific/Pohnpei,11:00
Pacific/Port_Moresby,10:00
Pacific/Rarotonga,-10:00
Pacific/Saipan,10:00
Pacific/Tahiti,-10:00
Pacific/Tarawa,12:00
Pacific/Tongatapu,13:00
Pacific/Wake,12:00
Pacific/Wallis,12:00
uninhabited,0:01
